央视,#genre#
CCTV1,http://125.66.145.111:8848/rtp/239.94.2.73:5140
CCTV1,http://125.66.145.111:8848/rtp/239.94.2.146:5140
CCTV1,http://42.85.213.14:6688/rtp/232.0.0.27:1234
CCTV1,http://183.141.122.171:9999/rtp/233.50.201.222:5140
CCTV1,http://183.141.122.171:9999/rtp/233.50.201.118:5140
CCTV1,http://183.141.122.171:9999/rtp/233.50.200.99:5140
CCTV1,http://183.141.122.171:9999/rtp/233.50.200.130:5140
CCTV1,http://183.141.122.171:9999/rtp/233.50.200.143:5140
CCTV1,http://183.141.122.171:9999/rtp/233.50.200.247:5140
CCTV1,http://27.18.35.149:6868/rtp/239.254.96.96:8550
CCTV1,http://27.18.35.149:6868/rtp/239.254.96.3:7992
CCTV1,http://123.54.206.105:8000/rtp/239.16.20.1:10010
CCTV1,http://123.54.206.105:8000/rtp/239.16.10.1:2000
CCTV1,http://123.54.206.105:8000/rtp/239.16.10.36:2000
CCTV1,http://27.18.50.220:8888/rtp/239.254.96.96:8550
CCTV1,http://27.18.50.220:8888/rtp/239.254.96.3:7992
CCTV1,http://27.19.67.44:8888/rtp/239.254.96.96:8550
CCTV1,http://27.19.67.44:8888/rtp/239.254.96.3:7992
CCTV1,http://123.121.93.179:8888/rtp/239.3.1.129:8008
CCTV1,http://27.18.50.213:8888/rtp/239.254.96.96:8550
CCTV1,http://27.18.50.213:8888/rtp/239.254.96.3:7992
CCTV1,http://114.243.96.9:8888/rtp/239.3.1.129:8008
CCTV1,http://183.162.104.137:8888/rtp/238.1.78.166:7200
CCTV1,http://117.63.157.175:8888/rtp/239.49.8.129:6000
CCTV1,http://117.63.157.175:8888/rtp/239.49.1.1:6000
CCTV1,http://119.98.123.82:8888/rtp/239.254.96.96:8550
CCTV1,http://119.98.123.82:8888/rtp/239.254.96.3:7992
CCTV1,http://114.222.8.88:8001/rtp/239.49.8.129:6000
CCTV1,http://114.222.8.88:8001/rtp/239.49.1.1:6000
CCTV1,http://111.196.128.135:20000/rtp/239.3.1.129:8008
CCTV1,http://113.65.124.131:9527/rtp/239.77.0.14:5146
CCTV1,http://113.65.124.131:9527/rtp/239.77.0.30:5146
CCTV1,http://113.65.124.131:9527/rtp/239.77.0.86:5146
CCTV1,http://113.65.124.131:9527/rtp/239.77.0.119:5146
CCTV1,http://113.65.124.131:9527/rtp/239.77.1.17:5146
CCTV1,http://113.65.124.131:9527/rtp/239.77.1.144:5146
CCTV1,http://113.65.124.131:9527/rtp/239.77.0.129:5146
CCTV1,http://36.24.119.220:4022/rtp/233.50.201.222:5140
CCTV1,http://36.24.119.220:4022/rtp/233.50.201.118:5140
CCTV1,http://36.24.119.220:4022/rtp/233.50.200.99:5140
CCTV1,http://36.24.119.220:4022/rtp/233.50.200.130:5140
CCTV1,http://36.24.119.220:4022/rtp/233.50.200.143:5140
CCTV1,http://36.24.119.220:4022/rtp/233.50.200.247:5140
CCTV1,http://111.167.35.107:5002/rtp/225.1.1.120:5002
CCTV1,http://180.109.221.194:7000/rtp/239.49.8.129:6000
CCTV1,http://180.109.221.194:7000/rtp/239.49.1.1:6000
CCTV1,http://117.86.82.202:8000/rtp/239.49.8.129:6000
CCTV1,http://117.86.82.202:8000/rtp/239.49.1.1:6000
CCTV1,http://121.226.125.25:7777/rtp/239.49.8.129:6000
CCTV1,http://121.226.125.25:7777/rtp/239.49.1.1:6000
CCTV1,http://60.0.84.130:9999/rtp/239.253.92.83:8012
CCTV1,http://123.118.50.175:8686/rtp/239.3.1.129:8008
CCTV1,http://183.56.120.121:40000/rtp/239.77.0.14:5146
CCTV1,http://183.56.120.121:40000/rtp/239.77.0.30:5146
CCTV1,http://183.56.120.121:40000/rtp/239.77.0.86:5146
CCTV1,http://183.56.120.121:40000/rtp/239.77.0.119:5146
CCTV1,http://183.56.120.121:40000/rtp/239.77.1.17:5146
CCTV1,http://183.56.120.121:40000/rtp/239.77.1.144:5146
CCTV1,http://183.56.120.121:40000/rtp/239.77.0.129:5146
CCTV1,http://182.143.115.140:40000/rtp/239.94.0.1:5140
CCTV1,http://182.143.115.140:40000/rtp/239.94.2.34:5140
CCTV1,http://182.143.115.140:40000/rtp/239.94.1.18:5140
CCTV1,http://182.143.115.140:40000/rtp/239.94.1.151:5140
CCTV1,http://182.143.115.140:40000/rtp/239.94.0.31:5140
CCTV1,http://182.143.115.140:40000/rtp/239.94.2.69:5140
CCTV1,http://182.143.115.140:40000/rtp/239.94.2.128:5140
CCTV1,http://182.143.115.140:40000/rtp/239.94.2.73:5140
CCTV1,http://182.143.115.140:40000/rtp/239.94.2.146:5140
CCTV1,http://27.13.124.25:8099/rtp/225.0.4.74:7980
CCTV1,http://27.13.124.25:8099/rtp/225.0.4.1:7980
CCTV1,http://59.175.9.167:8899/rtp/239.254.96.96:8550
CCTV1,http://59.175.9.167:8899/rtp/239.254.96.3:7992
CCTV1,http://111.165.3.35:4022/rtp/225.1.1.120:5002
CCTV1,http://171.83.41.199:8888/rtp/239.254.96.96:8550
CCTV1,http://171.83.41.199:8888/rtp/239.254.96.3:7992
